comp_type,composition,id,energyperatom
112,Mg2Cl1P1,Mg2Cl1P1_sg2_icsd_035676_1,-3.52709674875
112,Mg2Cl1P1,Mg2Cl1P1_sg55_icsd_642437_1,-3.36593504
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_061381_1,-3.56247307875
112,Mg2Cl1P1,Mg2Cl1P1_sg53_icsd_071063_1,-3.2334436425
112,Mg2Cl1P1,Mg2Cl1P1_sg146_icsd_174547_1,-3.5519023950000004
112,Mg2Cl1P1,Mg2Cl1P1_sg113_icsd_160121_1,-3.49889030625
112,Mg2Cl1P1,Mg2Cl1P1_sg112_icsd_073376_1,-3.135626605
112,Mg2Cl1P1,Mg2Cl1P1_sg55_icsd_165561_2,-2.995149784375
112,Mg2Cl1P1,Mg2Cl1P1_sg64_icsd_170268_1,-3.4638596984375
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_025588_2,-3.1195156925
112,Mg2Cl1P1,Mg2Cl1P1_sg63_icsd_410733_2,-3.2837029553125
112,Mg2Cl1P1,Mg2Cl1P1_sg64_icsd_071196_2,-3.464152861875
112,Mg2Cl1P1,Mg2Cl1P1_sg59_icsd_080372_1,-3.57309381375
112,Mg2Cl1P1,Mg2Cl1P1_sg138_icsd_105934_2,-3.1799260825
112,Mg2Cl1P1,Mg2Cl1P1_sg61_icsd_411067_2,-3.5539793903125
112,Mg2Cl1P1,Mg2Cl1P1_sg198_icsd_166256_1,-3.415332286875
112,Mg2Cl1P1,Mg2Cl1P1_sg3_icsd_152619_1,-3.632412381875
112,Mg2Cl1P1,Mg2Cl1P1_sg44_icsd_076000_2,-3.34643079875
112,Mg2Cl1P1,Mg2Cl1P1_sg38_icsd_617582_2,-3.24072458125
112,Mg2Cl1P1,Mg2Cl1P1_sg96_icsd_401086_1,-3.40795735375
112,Mg2Cl1P1,Mg2Cl1P1_sg166_icsd_073482_2,-3.5886078725000004
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_042927_1,-3.502170055
112,Mg2Cl1P1,Mg2Cl1P1_sg156_icsd_183791_2,-3.3343863675
112,Mg2Cl1P1,Mg2Cl1P1_sg146_icsd_014276_1,-3.3643407683333333
112,Mg2Cl1P1,Mg2Cl1P1_sg74_icsd_152544_1,-3.37236344875
112,Mg2Cl1P1,Mg2Cl1P1_sg4_icsd_109001_1,-3.644014358125
112,Mg2Cl1P1,Mg2Cl1P1_sg71_icsd_024380_2,-2.56504594125
112,Mg2Cl1P1,Mg2Cl1P1_sg82_icsd_153485_1,-3.413862865625
112,Mg2Cl1P1,Mg2Cl1P1_sg51_icsd_016325_1,-3.335647005
112,Mg2Cl1P1,Mg2Cl1P1_sg77_icsd_169858_2,-3.620678909375
112,Mg2Cl1P1,Mg2Cl1P1_sg164_icsd_644993_2,-3.4241482275
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_061381_2,-3.3515945266666667
112,Mg2Cl1P1,Mg2Cl1P1_sg15_icsd_165558_2,-3.295032638125
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_246585_1,-3.48846148875
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_000262_2,-3.64361895125
112,Mg2Cl1P1,Mg2Cl1P1_sg23_icsd_037026_1,-3.553303948125
112,Mg2Cl1P1,Mg2Cl1P1_sg55_icsd_642437_2,-3.4561994677083336
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_026286_1,-3.414056255
112,Mg2Cl1P1,Mg2Cl1P1_sg47_icsd_015115_1,-3.3217727225
112,Mg2Cl1P1,Mg2Cl1P1_sg216_icsd_643329_2,-3.180204856875
112,Mg2Cl1P1,Mg2Cl1P1_sg123_icsd_076202_2,-3.1629519575
112,Mg2Cl1P1,Mg2Cl1P1_sg14_icsd_627631_2,-3.622327854375
112,Mg2Cl1P1,Mg2Cl1P1_sg164_icsd_043278_2,-3.2838937300000004
112,Mg2Cl1P1,Mg2Cl1P1_sg187_icsd_074702_1,-3.360633875
112,Mg2Cl1P1,Mg2Cl1P1_sg15_icsd_056836_1,-3.6307236534375
112,Mg2Cl1P1,Mg2Cl1P1_sg119_icsd_150822_1,-3.31847989
112,Mg2Cl1P1,Mg2Cl1P1_sg44_icsd_076000_1,-3.34864318375
112,Mg2Cl1P1,Mg2Cl1P1_sg63_icsd_016324_2,-3.540998555625
112,Mg2Cl1P1,Mg2Cl1P1_sg63_icsd_080312_2,-3.501640676875
112,Mg2Cl1P1,Mg2Cl1P1_sg14_icsd_093880_2,-3.58193935
112,Mg2Cl1P1,Mg2Cl1P1_sg55_icsd_650140_1,-3.536422308958333
112,Mg2Cl1P1,Mg2Cl1P1_sg141_icsd_027090_2,-3.644561189375
112,Mg2Cl1P1,Mg2Cl1P1_sg15_icsd_418279_1,-3.44567397375
112,Mg2Cl1P1,Mg2Cl1P1_sg63_icsd_063588_2,-3.27956444125
112,Mg2Cl1P1,Mg2Cl1P1_sg146_icsd_014276_2,-3.4635855897222223
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_025588_1,-3.23346322625
112,Mg2Cl1P1,Mg2Cl1P1_sg194_icsd_000262_1,-3.6435009975
112,Mg2Cl1P1,Mg2Cl1P1_sg65_icsd_009389_1,-3.032471235625
112,Mg2Cl1P1,Mg2Cl1P1_sg163_icsd_075971_2,-3.34030034125
112,Mg2Cl1P1,Mg2Cl1P1_sg191_icsd_092308_1,-3.50055496
112,Mg2Cl1P1,Mg2Cl1P1_sg187_icsd_074702_2,-3.3606526825
112,Mg2Cl1P1,Mg2Cl1P1_sg109_icsd_027091_2,-3.64455963625
112,Mg2Cl1P1,Mg2Cl1P1_sg154_icsd_069739_2,-3.63498086
112,Mg2Cl1P1,Mg2Cl1P1_sg67_icsd_075515_1,-2.975426031875
112,Mg2Cl1P1,Mg2Cl1P1_sg131_icsd_412040_1,-2.458906655
112,Mg2Cl1P1,Mg2Cl1P1_sg5_icsd_085130_2,-3.6313204559375
112,Mg2Cl1P1,Mg2Cl1P1_sg139_icsd_039304_1,-3.252557908125
112,Mg2Cl1P1,Mg2Cl1P1_sg225_icsd_165739_2,-3.146795805625
112,Mg2Cl1P1,Mg2Cl1P1_sg28_icsd_071842_1,-3.24496416125
112,Mg2Cl1P1,Mg2Cl1P1_sg13_icsd_016646_2,-3.29053618375
112,Mg2Cl1P1,Mg2Cl1P1_sg160_icsd_644994_2,-3.529289205
112,Mg2Cl1P1,Mg2Cl1P1_sg146_icsd_174547_2,-3.405436005
112,Mg2Cl1P1,Mg2Cl1P1_sg6_icsd_164853_2,-3.5665184591666663
112,Mg2Cl1P1,Mg2Cl1P1_sg51_icsd_016325_2,-3.3355396725
