composition,id,energyperatom
Hf1N1,icsd_183420,-9.854916000000001
Hf1N1,icsd_183419,-9.854908
Hf3N4,icsd_097997,-9.82179592857
Hf1N1,icsd_167875,-9.6632675
Hf1O2,icsd_060903,-9.62478016667
Hf1O2,icsd_071354,-9.60809125
Hf1O2,icsd_173966,-9.58076933333
Hf1O2,icsd_173967,-9.573228
C1W1,icsd_246150,-9.5350685
C1W2,icsd_043017,-9.49281383333
Hf1O2,icsd_087457,-9.48490708333
C1W2,icsd_162419,-9.478351111110001
N1W2,icsd_030354,-9.375457444439999
Hf2O7Y2,icsd_153819,-9.24519913636
Ca1Hf4O9,icsd_108957,-9.20094548214
Ca2Hf7O16,icsd_004136,-9.15110832
N4Zr3,icsd_152050,-9.11941625
N1Zr1,icsd_183181,-9.0997345
C1W1,icsd_167896,-9.070901
N4Zr3,icsd_097998,-9.05984435714
N1W1,icsd_076005,-9.054538
Hf2La2O7,icsd_153815,-9.044639454550001
O2Zr1,icsd_015983,-8.9643365
N4W3,icsd_030370,-8.958317857139997
O2Zr1,icsd_173960,-8.950702791669999
O2Zr1,icsd_067004,-8.94704316667
O2Zr1,icsd_093028,-8.93607866667
O2Zr1,icsd_173962,-8.92896266667
B1W2,icsd_024279,-8.912139166669999
Cr1N2W1,icsd_084639,-8.88754975
O2Zr1,icsd_056696,-8.858077999999997
O7Y2Zr2,icsd_153818,-8.852269409089997
N1Zr1,icsd_183182,-8.843341
N1Zr1,icsd_167867,-8.8433145
N1W1,icsd_167877,-8.841303
O47W17,icsd_065084,-8.7999691875
Hf1O4Si1,icsd_059111,-8.79293975
B1N1,icsd_167799,-8.7832235
B1N1,icsd_162871,-8.7808755
B1N1,icsd_020946,-8.7798505
N1Nb1,icsd_076385,-8.7773675
N6Nb5,icsd_026252,-8.772782681819999
O1W3,icsd_052344,-8.763525
O1W3,icsd_150496,-8.755231625
N5Nb4,icsd_026251,-8.73873922222
O3Y2,icsd_160890,-8.731082675
C4Mn3W10,icsd_618281,-8.71848767647
O12W1Y6,icsd_092037,-8.71458063158
B1N1,icsd_182731,-8.7136545
O21W2Y10,icsd_035239,-8.70723589394
B1N1,icsd_027986,-8.696428
N3Nb2,icsd_182699,-8.68817655
N1Zr1,icsd_161885,-8.680859
P1W3,icsd_648282,-8.6794364375
O3Y2,icsd_160219,-8.679088
N1W1,icsd_030381,-8.6682135
Hf9P1W4,icsd_638765,-8.667543285710003
O6W1Y2,icsd_020955,-8.66736583333
O6W1Y2,icsd_065811,-8.66694825
La2O7Zr2,icsd_153814,-8.665033818180001
O3Y2,icsd_160204,-8.6497596
B1N1,icsd_162879,-8.64783125
Ca1O9Zr4,icsd_069168,-8.63147194643
O5Ti1Y2,icsd_167564,-8.61710453125
B1N1,icsd_162875,-8.611165375
O3Y2,icsd_181828,-8.60404185
N1Sc1,icsd_644667,-8.595464999999999
N1Sc1,icsd_180830,-8.5952895
N1Nb1,icsd_076384,-8.59523075
N1Nb1,icsd_644543,-8.59507125
N1Ti1,icsd_644775,-8.593504
N1Ti1,icsd_064907,-8.5934455
O3Sc2,icsd_027948,-8.59294845
C2W1Y1,icsd_619103,-8.5912829375
