comp_type,composition,id,energyperatom
111,K1Zn1Bi1,KZnBi_NaBeSb_194,-2.366289903
111,K1Zn1Bi1,KZnBi_NaBeAs_194,-2.366068142
111,K1Zn1Bi1,KZnBi_LiBeSb_186,-2.365980835
111,K1Zn1Bi1,KZnBi_EuPPt_164,-2.3657319930000003
111,K1Zn1Bi1,KZnBi_KZnSb_194_2,-2.358295732
111,K1Zn1Bi1,KZnBi_KZnAs_194_2,-2.358260382
111,K1Zn1Bi1,KZnBi_KZnP_194,-2.35791176
111,K1Zn1Bi1,KZnBi_YPPt_187,-2.3553713
111,K1Zn1Bi1,KZnBi_LiZbSb_186,-2.353993448
111,K1Zn1Bi1,KZnBi_KZnSb_194_1,-2.346951367
111,K1Zn1Bi1,KZnBi_KZnSb_187,-2.346340697
111,K1Zn1Bi1,KZnBi_KZnAs_187_1,-2.346300293
111,K1Zn1Bi1,KZnBi_LiFeAs_129,-2.3439716930000003
111,K1Zn1Bi1,KZnBi_LiBeAs_129,-2.343117452
111,K1Zn1Bi1,KZnBi_NaZnP_129_2,-2.342528007
111,K1Zn1Bi1,KZnBi_NaZnAs_129,-2.342161393
111,K1Zn1Bi1,KZnBi_NaZnP_129_1,-2.340907005
111,K1Zn1Bi1,KZnBi_KCdSb_129,-2.339688477
111,K1Zn1Bi1,KZnBi_KCdAs_129,-2.339688475
111,K1Zn1Bi1,KZnBi_NaZnSb_129,-2.338966278
111,K1Zn1Bi1,KZnBi_NaCdAs_62_2,-2.337746223
111,K1Zn1Bi1,KZnBi_NaCdAs_62_1,-2.33759343
111,K1Zn1Bi1,KZnBi_NaCdSb_62,-2.337353088
111,K1Zn1Bi1,KZnBi_KSnSb_186,-2.29984865
111,K1Zn1Bi1,KZnBi_NaSnP_186,-2.29367066
111,K1Zn1Bi1,KZnBi_KSnAs_186,-2.280956635
111,K1Zn1Bi1,KZnBi_LaPIr_109,-2.27022635
111,K1Zn1Bi1,KZnBi_HfAsRu_46,-2.198330821
111,K1Zn1Bi1,KZnBi_TiFeP_189,-2.196026742
111,K1Zn1Bi1,KZnBi_LiMnAs_129,-2.156020723
111,K1Zn1Bi1,KZnBi_MgAgSb_120,-2.102168562
111,K1Zn1Bi1,KZnBi_ZnCuAs_216,-2.075732221
111,K1Zn1Bi1,KZnBi_LiZnP_216_2,-2.073089757
111,K1Zn1Bi1,KZnBi_LiZnAs_216,-2.07302771
111,K1Zn1Bi1,KZnBi_NbCrN_99,-2.013856388
111,K1Zn1Bi1,KZnBi_LiNiN_187,-1.923603537
111,K1Zn1Bi1,KZnBi_SrSnP_129,-1.74284662
111,K1Zn1Bi1,KZnBi_MnCoSb_225,-1.69855024
111,K1Zn1Bi1,KZnBi_SrLiN_131,-1.6796354130000002
111,K1Zn1Bi1,KZnBi_LiCdP_216,-1.5944019269999998
111,K1Zn1Bi1,KZnBi_LiCdAs_216,-1.594355283
111,K1Zn1Bi1,KZnBi_LiZnP_216_1,-1.5943295869999998
111,Cs1Ge1Sb1,CsGeSb_NaCdSb_62,-3.44089911
111,Cs1Ge1Sb1,CsGeSb_KSnSb_186,-3.440139562
111,Cs1Ge1Sb1,CsGeSb_NaSnP_186,-3.43763341
111,Cs1Ge1Sb1,CsGeSb_KSnAs_186,-3.433652915
111,Cs1Ge1Sb1,CsGeSb_NaZnSb_129,-3.40532526
111,Cs1Ge1Sb1,CsGeSb_KCdSb_129,-3.403472645
111,Cs1Ge1Sb1,CsGeSb_KCdAs_129,-3.40243407
111,Cs1Ge1Sb1,CsGeSb_NaZnP_129_2,-3.400754955
111,Cs1Ge1Sb1,CsGeSb_NaZnP_129_1,-3.400750285
111,Cs1Ge1Sb1,CsGeSb_LiBeP_129,-3.400472635
111,Cs1Ge1Sb1,CsGeSb_NaZnAs_129,-3.400241095
111,Cs1Ge1Sb1,CsGeSb_MgAgSb_120,-3.3305930160000004
111,Cs1Ge1Sb1,CsGeSb_KZnAs_187_1,-3.32235311
111,Cs1Ge1Sb1,CsGeSb_LiMnAs_129,-3.256834382
111,Cs1Ge1Sb1,CsGeSb_TiFeP_189,-3.20123763
111,Cs1Ge1Sb1,CsGeSb_LiBeSb_186,-3.143170108
111,Cs1Ge1Sb1,CsGeSb_SrSnP_129,-3.11009776
111,Cs1Ge1Sb1,CsGeSb_ZnCuAs_216,-2.870196061
111,Cs1Ge1Sb1,CsGeSb_LiZnP_216_2,-2.86794666
111,Cs1Ge1Sb1,CsGeSb_NdNiP_194,-2.558621503
111,Cs1Ge1Sb1,CsGeSb_SrLiN_131,-2.547767835
111,Cs1Ge1Sb1,CsGeSb_LiZnP_216_1,-2.349447057
11,Rb1As1,RbAs,-3.237408716
111,Cs1Zn1Sb1,CsZnSb_YPPt_187,-2.47302205
111,Cs1Zn1Sb1,CsZnSb_KZnP_194,-2.471622737
111,Cs1Zn1Sb1,CsZnSb_NaBeAs_194,-2.471582872
111,Cs1Zn1Sb1,CsZnSb_NaBeSb_194,-2.47155226
